Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -count exons -condenseGenes -d sgNT_MC38_1/ sgNT_MC38_2/ sgArid1a_MC38_1/ sgArid1a_MC38_2/ -tpm)	chr	start	end	strand	Length	Copies	Annotation/Divergence	sgNT_MC38_1/ TPM	sgNT_MC38_2/ TPM	sgArid1a_MC38_1/ TPM	sgArid1a_MC38_2/ TPM
NM_011290	chr5	121204501	121209241	+	1241	1	Rpl6|Taxreb107|-|5|5 F|protein-coding	502.419	515.843	468.043	483.923
NM_009225	chr2	130171636	130179364	-	1112	1	Snrpb|AL024368|AU018828|SM-B|SM11|SMB|SNRNP-B|-|2 F1|2 63.19 cM|protein-coding	501.621	522.801	501.981	518.519
NM_009837	chr11	22990593	23003336	+	1950	1	Cct4|2610204B21Rik|A45|C78323|Cctd|-|11 A3.2|11 14.25 cM|protein-coding	501.108	493.639	438.892	441.665
NM_007476	chr11	59211412	59228267	-	1792	1	Arf1|-|-|11|11 B1.3|protein-coding	499.161	496.382	488.95	485.063
NM_026785	chr2	164769929	164772902	+	923	1	Ube2c|1110015A16Rik|D2Ertd695e|-|2 H3|2 85.27 cM|protein-coding	498.889	489.284	417.282	404.777
NM_001001892	chr17	33996012	34000333	-	1636	1	H2-K1|H-2K|H-2K(d)|H2-K|K-f|-|17 B1|17 17.98 cM|protein-coding	498.427	483.951	551.362	562.998
NM_011119	chr10	128557766	128565934	-	2418	1	Pa2g4|38kDa|AA672939|Ebp1|Plfap|-|10|10 D3|protein-coding	498.297	504.231	452.344	454.844
NM_133796	chr11	120577235	120581620	-	2724	1	Arhgdia|5330430M07Rik|Gdi-1|Rho-GDI|RhoDGI|RhoGDI-1|-|11|11 E2|protein-coding	498.158	487.988	461.154	460.73
NM_001077184	chr10	79704358	79711979	+	1395	1	Bsg|AI115436|AI325119|CD147|EMMPRIN|HT-7|-|10 C1|10 39.72 cM|protein-coding	497.04	488.364	536.94	512.343
NM_013541	chr19	4035411	4037912	-	735	1	Gstp1|GstpiB|-|19 A|19 3.75 cM|protein-coding	496.62	468.4	475.024	459.901
NM_016738	chr8	123102350	123105242	+	770	1	Rpl13|A52|L13|-|8|8 E1|protein-coding	494.584	479.177	456.392	464.466
NM_011187	chr2	38588046	38643906	-	959	1	Psmb7|AU020723|MC14|-|2 B|2 24.42 cM|protein-coding	492.454	492.052	502.536	523.825
NM_011029	chr9	120127766	120132369	+	1852	1	Rpsa|67kDa|67lr|AL022858|Lamr|Lamr1|Lamrl1|MLR|P40|P40-3|P40-8|-|9 F4|9 71.41 cM|protein-coding	490.286	517.14	475.489	500.285
NM_009870	chr10	127063603	127067282	+	1336	1	Cdk4|Crk3|-|10|10 D3|protein-coding	489.398	494.119	519.143	532.033
NM_009084	chr1	72711260	72713813	+	582	1	Rpl37a|-|-|1|1 C3|protein-coding	487.61	479.948	466.503	476.821
NR_015536	chr17	34950236	34952471	-	435	1	1110038B12Rik|0610009C20Rik|0910001G04Rik|-|17|17 B1|ncRNA	487.474	518.107	482.345	467.597
NM_001267808	chr17	35263123	35266730	+	1052	1	H2-L|H-2L|-|-|protein-coding	487.457	489.528	582.026	613.741
NM_010380	chr17	35263094	35267497	+	1726	1	H2-D1|H-2D|H2-D|-|17 B1|17 18.61 cM|protein-coding	486.43	473.27	577.188	581.202
NM_025974	chr9	120571517	120574653	+	927	1	Rpl14|3100001N19Rik|AA407502|AL022816|CAG-ISL-7|CTG-B33|L14|-|9|9 F4|protein-coding	486.19	460.69	428.593	416.782
NM_001290712	chr17	12916329	12925067	+	2400	1	Tcp1|AI528772|CCT|Cct1|Ccta|TRic|Tcp-1|Tp63|c-cpn|p63|-|17 A1|17 8.72 cM|protein-coding	483.465	457.937	435.289	415.588
NM_008945	chr3	94884324	94886958	-	940	1	Psmb4|Pros-27|-|3 F2.1|3 40.74 cM|protein-coding	483.443	493.19	555.688	550.806
NM_025983	chr2	174461075	174464101	-	409	1	Atp5e|2410043G19Rik|ATPE|AV000645|-|2|2 H4|protein-coding	483.312	497.3	487.375	491.157
NM_013608	chr10	128035346	128048637	+	1108	1	Naca|AL022831|AL024382|Gm1878|mKIAA0363|skNAC|-|10|10 D3|protein-coding	482.931	484.625	449.492	440.866
NM_011865	chr6	86524497	86526165	-	1666	1	Pcbp1|WBP17|[a]CP-1|alphaCP-1|hnRNP E1|-|6|6 D1|protein-coding	482.721	486.117	487.536	508.883
NM_133916	chr5	140419305	140443358	+	2945	1	Eif3b|AL033316|AL033334|AL033369|AW208965|D5Wsu45e|EIF3-ETA|EIF3-P110|EIF3-P116|Eif3s9|PRT1|-|5 G2|5 78.97 cM|protein-coding	481.425	482.338	498.001	485.853
NM_007507	chr5	108433253	108434378	-	286	1	Atp5k|2610008D24Rik|Atp5i|Lfm1|-|5 F|5 53.11 cM|protein-coding	478.541	477.609	494.049	487.851
NM_007984	chr5	142960355	142973189	+	2660	1	Fscn1|AI663989|Fan1|fascin-1|-|5 G2|5 81.84 cM|protein-coding	478.095	480.68	339.851	357.798
NM_011239	chr16	18239979	18248694	-	844	1	Ranbp1|Htf9a|-|16 A3|16 11.3 cM|protein-coding	475.407	470.987	442.299	446.648
NM_007830	chr1	120113280	120121096	-	581	1	Dbi|ACBD1|Acbp|EP|endozepine|-|1|1 E2.3|protein-coding	474.593	412.233	407.945	381.68
NM_001290552	chr2	32278805	32288069	-	628	1	Swi5|1500019F05Rik|2900010J23Rik|AI046671|-|2|2 B|protein-coding	472.725	488.431	495.235	525.322
NM_025567	chr15	76343523	76345934	+	1185	1	Cyc1|2610002H19Rik|AA408921|Cyct1|-|15|15 D3|protein-coding	468.293	487.463	489.52	488.113
NM_016737	chr19	7020696	7040026	-	2157	1	Stip1|Hop|Sti1|p60|-|19|19 A|protein-coding	467.748	465.324	445.375	449.223
NM_008211	chr11	116021961	116024504	-	1987	1	H3f3b|9430068D06Rik|H3.3B|-|11|11 E2|protein-coding	467.105	466.273	463.829	459.738
NM_013493	chr6	87842615	87851106	-	2171	1	Cnbp|AA408710|Cnbp1|Znf9|-|6|6 D1|protein-coding	466.652	492.5	448.522	467.684
NM_025437	chrX	159372195	159385699	+	917	1	Eif1ax|1500010B24Rik|AI426898|Eif1ay|-|X|X F4|protein-coding	466.408	475.675	443.871	430.645
NM_008704	chr11	93958925	93968521	-	1228	1	Nme1|AL024257|NDPK-A|NM23-M1|NM23A|-|11|11 D|protein-coding	466.178	488.991	478.194	501.708
NM_010219	chr6	128430107	128438631	-	2155	1	Fkbp4|59kDa|AL022792|AW208983|FKBP-4|FKBP-52|FKBP52|FKPB52|p59|-|6|6 F3|protein-coding	464.046	467.809	479.841	466.021
NM_025652	chr5	146948657	146955614	+	1287	1	Gtf3a|2010015D03Rik|2610111I01Rik|5330403M05Rik|-|5|5 G3|protein-coding	464.02	455.262	423.099	414.271
NM_001002239	chr18	75000477	75003381	+	766	1	Rpl17|-|-|18|18 E2|protein-coding	457.19	487.456	436.957	448.604
NR_046233	chr17	39842997	39848829	+	5832	1	Rn45s|-|-|-|rRNA	456.705	384.466	462.886	396.862
NM_001170341	chr6	124931388	124936149	+	1512	1	Mlf2|AI256856|AU018944|C77284|-|6|6 F2|protein-coding	453.254	455.105	467.356	479.46
NM_001276288	chr10	81559444	81566371	+	1458	1	Aes|AL024115|Esp1|Grg|Grg-5|Grg5|Tle5|-|10 C1|10 39.72 cM|protein-coding	452.49	409.013	417.556	416.702
NM_001252476	chr7	44976755	44986420	-	1297	1	Prmt1|6720434D09Rik|AW214366|Hrmt1l2|Mrmt1|-|7 B3|7 29.07 cM|protein-coding	452.129	453.292	471.614	463.784
NM_015735	chr19	10605625	10629821	+	4134	1	Ddb1|127kDa|AA408517|p127-Ddb1|-|19 A|19 6.66 cM|protein-coding	450.556	446.638	435.513	431.542
NM_021473	chr4	116636510	116651674	-	1403	1	Akr1a1|2610201A18Rik|Akr1a4|-|4|4 D1|protein-coding	449.12	455.262	503.881	498.737
NM_133668	chr10	91116578	91123963	-	1502	1	Slc25a3|5730556H19Rik|PTP|Phc|-|10|10 C2|protein-coding	447.849	452.909	426.162	435.646
NM_033444	chr17	35050243	35058719	+	1151	1	Clic1|Clcp|G6|-|17 B1|17 18.58 cM|protein-coding	445.779	445.438	436.528	445.329
NR_003363	chr17	78850505	78852544	-	2039	1	Gm6548|EG625054|-|17|17 E3|pseudo	444.757	432.821	413.774	415.242
NM_013721	chr2	26910807	26913311	+	854	1	Rpl7a|Surf3|-|2 A3|2 19.1 cM|protein-coding	443.579	440.402	395.489	405.002
NM_007918	chr8	27260327	27275656	+	976	1	Eif4ebp1|4e-bp1|AA959816|PHAS-I|-|8 A2|8 15.95 cM|protein-coding	441.307	434.197	395.089	379.638
NM_025624	chr5	147860628	147875778	+	726	1	Pomp|2510048O06Rik|Ump1|-|5|5 G3|protein-coding	440.201	458.674	433.407	459.813
NM_197979	chr11	4701968	4704344	-	437	1	Uqcr10|1110020P15Rik|AA960494|Ucrc|-|11|11 A1|protein-coding	439.515	432.121	491.61	498.795
NM_025919	chr4	136049948	136053371	-	586	1	Rpl11|2010203J19Rik|-|4|4 D3|protein-coding	437.178	485.928	425.465	446.075
NM_025313	chr10	80142315	80145818	+	925	1	Atp5d|0610008F14Rik|1500000I11Rik|AA960090|AI876556|AU020773|C85518|-|10|10 C1|protein-coding	434.399	431.904	443.481	439.037
NM_009104	chr12	24708254	24714146	+	2168	1	Rrm2|AA407299|R2|-|12 A1.3|12 8.5 cM|protein-coding	430.826	429.715	366.798	374.574
NM_007531	chr6	124712289	124716945	+	1349	1	Phb2|AU044498|BAP|Bap37|Bcap37|REA|-|6 F2|6 59.17 cM|protein-coding	428.839	438.253	441.609	437.599
NM_008946	chr11	70525357	70527858	+	1028	1	Psmb6|Lmp19|Mpnd|-|11 B3|11 42.99 cM|protein-coding	428.633	425.285	473.092	467.271
NM_001170540	chr13	98309897	98317006	-	881	1	Btf3|1700054E11Rik|-|13|13 D1|protein-coding	428.027	410.218	420.102	400.859
NM_053102	chr3	144570427	144597676	+	1502	1	Selenof|9430015P09Rik|Sep15|-|3|3 H2|protein-coding	427.079	425.35	420.801	444.134
NM_009840	chr16	87483325	87495869	-	2374	1	Cct8|AI132397|Cctq|Tcpq|-|16|16 C3.3|protein-coding	425.053	428.742	410.937	404.915
NM_011287	chr17	28328471	28331033	+	822	1	Rpl10a|CsA-19|Nedd6|-|17|17 A3.3|protein-coding	423.245	444.871	424.378	407.817
NM_001077529	chr11	93949814	93955783	-	731	1	Nme2|NM23-H2|NM23B|nm23-M2|-|11|11 D|protein-coding	421.85	468.619	429.612	440.762
NM_009128	chr19	44293676	44306862	+	5443	1	Scd2|Mir5114|Scd-2|mir-5114|swty|-|19 C3|19 37.98 cM|protein-coding	418.216	348.036	385.597	370.071
NM_010480	chr12	110691036	110696395	-	2838	1	Hsp90aa1|86kDa|89kDa|AL024080|AL024147|Hsp86-1|Hsp89|Hsp90|Hspca|hsp4|-|12 F1|12 60.75 cM|protein-coding	417.816	403.909	394.877	392.122
NM_001347487	chr11	50377719	50386528	+	2161	1	Hnrnph1|AI642080|E430005G16Rik|Hnrnph|Hnrph1|-|11|11 B1.3|protein-coding	417.653	410.83	426.904	419.739
NM_001312867	chr5	134619872	134639409	-	2426	1	Eif4h|AU018978|D5Ertd355e|E430026L18Rik|Ef4h|Wbscr1|Wscr1|eIF-4H|-|5 G2|5 74.71 cM|protein-coding	417.364	427.848	417.91	417.486
NM_025628	chr7	30616974	30626151	-	499	1	Cox6b1|2010000G05Rik|Cox6b|-|7 B1|7 18.84 cM|protein-coding	413.14	399.025	447.883	427.276
NM_178598	chr1	172500246	172507375	+	1375	1	Tagln2|2700094C18Rik|SM22beta|Sm22B|Sm22a|-|1 H3|1 79.89 cM|protein-coding	407.765	390.416	302.872	304.725
NM_009076	chr2	32961712	32964045	+	629	1	Rpl12|E430018F03|-|2|2 B|protein-coding	406.606	464.509	445.172	460.123
NM_018799	chr4	129591974	129600648	-	1096	1	Eif3i|36kDa|D4Ertd632e|Eif3s2|Trip1|-|4 D2.2|4 63.26 cM|protein-coding	405.843	408.015	392.725	390.732
NM_026063	chr17	27122665	27133891	-	467	1	Uqcc2|2900010M23Rik|Cbp6|M19|Mnf1|-|17|17 A3.3|protein-coding	405.739	416.281	419.037	483.251
NM_026095	chr10	75518042	75535440	+	598	1	Snrpd3|1700043E15Rik|2310009E13Rik|AW046420|SMD3|-|10|10 C1|protein-coding	405.326	409.106	413.116	365.676
NM_018858	chr5	117282651	117287564	-	1176	1	Pebp1|HCNP|Pbp|Pbp1|Pbpr|Rkip|-|5 F|5 56.88 cM|protein-coding	401.951	425.895	429.315	442.652
NM_025448	chr3	88579671	88588413	+	1176	1	Ssr2|1500032E05Rik|AI315033|AU020133|TLAP|TRAPB|TRAPbeta|-|3|3 F1|protein-coding	399.384	406.718	434.999	446.345
NM_008019	chr2	151542483	151561691	+	1650	1	Fkbp1a|FKBP12|Fkbp|Fkbp1|-|2|2 G3|protein-coding	398.791	388.928	382.504	391.986
NM_001081274	chr4	149149985	149166707	-	2209	1	Pgd|0610042A05Rik|AU019875|C78335|-|4 E2|4 78.96 cM|protein-coding	398.75	373.86	345.34	338.958
NM_010312	chr5	137528129	137533229	-	1565	1	Gnb2|Gnb-2|-|5 G2|5 76.54 cM|protein-coding	397.302	403.667	401.046	412.738
NM_028203	chr12	75630594	75669537	-	2977	1	Wdr89|2600001A11Rik|-|12|12 C3|protein-coding	396.859	412.571	389.096	379.366
NM_025641	chr4	116066965	116075070	-	540	1	Uqcrh|2210416J04Rik|2310021J10Rik|2610041P16Rik|-|4|4 D1|protein-coding	396.414	410.227	417.817	438.676
NM_010817	chr8	107580380	107588482	-	1591	1	Psmd7|AW107203|Mov-34|Mov34|-|8 D3|8 54.38 cM|protein-coding	396.05	386.843	398.121	396.572
NM_007573	chr11	70977846	70983026	-	1157	1	C1qbp|AA407365|AA986492|D11Wsu182e|HABP1|P32|gC1qBP|-|11 B4|11 43.21 cM|protein-coding	395.753	393.289	360.989	357.419
NM_016980	chr5	107900528	107909005	+	2009	1	Rpl5|U21RNA|-|5 F|5 52.23 cM|protein-coding	392.72	399.143	384.333	379.815
NM_009391	chr5	129020156	129024321	+	2279	1	Ran|-|-|5|5 G1.3|protein-coding	391.107	391.563	389.467	407.226
NM_007793	chr10	78425670	78427622	+	597	1	Cstb|AA960480|Stfb|-|10 C1|10 39.72 cM|protein-coding	387.222	361.018	287.833	299.882
NM_008379	chr11	97159710	97187892	-	5885	1	Kpnb1|AA409963|IPOB|Impnb|-|11|11 D|protein-coding	384.46	383.889	364.098	359.486
NM_011733	chr6	131364858	131388450	-	1644	1	Ybx3|Csda|Dpba|MSY3|MSY4|Yb2|dbpA|oxyR|-|6|6 F3|protein-coding	383.107	367.079	316.99	317.068
NM_010579	chr2	155819837	155826925	-	1487	1	Eif6|1110004P11|AA408895|CAB|Itgb4bp|eIF-6|imc-415|p27(BBP)|p27BBP|-|2|2 H1|protein-coding	381.5	406.124	355.669	346.211
NM_028230	chr10	127517123	127522444	-	2291	1	Shmt2|2700043D08Rik|AA408223|AA986903|-|10|10 D3|protein-coding	380.901	390.01	395.716	402.097
NM_146217	chr8	111033842	111055569	+	3692	1	Aars|AI316495|C76919|sti|-|8|8 E1|protein-coding	379.229	357.878	374.154	381.669
NM_007589	chr17	87433401	87446935	-	1208	1	Calm2|1500001E21Rik|AL024017|-|17|17 E4|protein-coding	378.926	370.895	371.029	371.204
NM_020615	chr2	10056031	10080510	-	1153	1	Atp5c1|1700094F02Rik|-|2|2 A1|protein-coding	377.925	396.262	373.838	379.678
NM_015816	chr8	70673231	70678752	+	935	1	Lsm4|-|-|8|8 B3.3|protein-coding	376.091	373.55	376.015	383.85
NM_011694	chr11	52360862	52389397	+	2009	1	Vdac1|AL033343|Vdac5|mVDAC1|mVDAC5|-|11 B1.3|11 31.86 cM|protein-coding	375.545	376.834	368.376	353.317
NM_026943	chr7	19149838	19152726	+	483	1	Snrpd2|1810009A06Rik|SMD2|-|7|7 A3|protein-coding	375.333	374.417	380.62	378.493
NM_011358	chr11	116849897	116853094	-	1898	1	Srsf2|D11Wsu175e|MRF-1|Pr264|SC35|Sfrs10|Sfrs2|-|11 E2|11 81.49 cM|protein-coding	372.891	379.019	385.597	388.816
NM_026631	chr11	51619773	51623714	+	998	1	Nhp2|2410130M07Rik|D11Ertd175e|Nola2|-|11 B1.3|11 31.14 cM|protein-coding	371.653	401.885	363.087	365.234
NM_019390	chr3	88483205	88493312	-	1525	1	Lmna|Dhe|-|3 F1|3 38.84 cM|protein-coding	370.297	398.718	309.944	331.337
NM_025650	chr10	80402997	80406821	-	431	1	Uqcr11|0710008D09Rik|AL022707|Uqcr|-|10|10 C1|protein-coding	368.915	383.162	378.599	422.208
NM_001136081	chr2	85037451	85047114	+	2710	1	Ssrp1|C81323|Hmg1-rs1|Hmgi-rs3|Hmgox|T160|-|2 D|2 49.45 cM|protein-coding	368.692	366.841	378.656	371.046
NM_007653	chr10	128909866	128912818	+	889	1	Cd63|C75951|ME491|Tspan30|-|10 D3|10 77.19 cM|protein-coding	368.384	373.612	285.922	297.032
NM_016776	chr11	72441378	72451550	+	4089	1	Mybbp1a|AL024407|AU019902|P160|p160MBP|p67MBP|-|11 B4|11 44.29 cM|protein-coding	366.634	385.405	361.496	348.656
NM_011333	chr11	82035577	82037452	+	801	1	Ccl2|AI323594|HC11|JE|MCAF|MCP-1|MCP1|SMC-CF|Scya2|Sigje|-|11 C|11 49.82 cM|protein-coding	366.498	362.626	187.593	206.544
NM_019411	chr11	52098824	52122749	+	1921	1	Ppp2ca|PP2A|R75353|-|11|11 B1.3|protein-coding	366.331	367.497	334.317	332.166
NR_028101	chr15	34440506	34443233	-	473	1	Gm12191|OTTMUSG00000005566|-|11|11 B1.2|pseudo	365.943	419.45	383.206	392.714
NM_022325	chr2	174427494	174439039	-	1432	1	Ctsz|AI787083|AU019819|CTSX|D2Wsu143e|-|2 H4|2 97.94 cM|protein-coding	365.633	364.609	350.656	335.345
NM_133654	chr1	194938821	194961292	+	2455	1	Cd34|AU040960|-|1 H6|1 98.38 cM|protein-coding	365.177	373.259	215.863	228.531
NM_020569	chr4	150897133	150909921	-	894	1	Park7|DJ-1|Dj1|-|4|4 E2|protein-coding	364.555	366.094	361.819	357.579
NR_002896	chr19	8723487	8726326	+	466	1	Snhg1|-|-|19|19 A|ncRNA	363.111	376.437	338.1	329.172
NM_009007	chr5	143505481	143527993	-	2261	1	Rac1|AL023026|D5Ertd559e|-|5 G2|5 82.22 cM|protein-coding	361.857	331.046	346.201	340.456
NM_009093	chr12	69157722	69159186	-	385	1	Rps29|-|-|12|12 C2|protein-coding	361.836	368.883	403.708	379.505
NM_001103165	chr15	102470632	102500059	+	2851	1	Pcbp2|AW412548|Hnrpx|alphaCP-2|-|15 F3|15 57.61 cM|protein-coding	361.653	347.397	329.713	338.741
NM_001111044	chr7	99345375	99353239	-	2222	1	Serpinh1|BERF-1|Cbp1|Cbp2|Hsp47|J6|Serpinh2|gp46|-|7|7 E1|protein-coding	361.156	372.058	373.679	383.691
NM_001109913	chr17	33646233	33685458	-	2396	1	Hnrnpm|2610023M21Rik|AA409009|Hnrpm|mKIAA4193|-|17|17 B1|protein-coding	357.249	352.426	350.03	349.805
NM_007636	chr10	117050998	117063814	-	1944	1	Cct2|Cctb|-|10|10 D2|protein-coding	355.045	350.593	329.736	336.595
NM_130889	chr4	46450926	46472656	+	1682	1	Anp32b|2410015B15Rik|PAL31|PHAPI2a|Ssp29|-|4|4 B1|protein-coding	354.708	338.505	342.437	328.81
NM_001304432	chr16	20672727	20692883	+	5363	1	Eif4g1|E030015G23Rik|eIF-4-gamma 1|eIF-4G 1|eIF-4G1|eIF4GI|-|16|16 B1|protein-coding	351.729	359.163	347.721	346.884
NM_026030	chr2	154871410	154892906	-	2502	1	Eif2s2|2810026E11Rik|38kDa|AA408636|AA571381|AA986487|AW822225|D2Ertd303e|EIF2|EIF2B|-|2 H1|2 76.89 cM|protein-coding	348.434	338.351	341.091	336.945
NM_018749	chr15	77958998	77970824	-	1893	1	Eif3d|66/67kDa|AA407891|Eif3s7|eIF3p66|-|15|15 E1|protein-coding	345.928	347.522	349.856	340.853
NM_146200	chr7	126546911	126566366	-	2859	1	Eif3c|110kDa|3230401O13Rik|Eif3s8|NIPIL(A3)|NipilA3|Xs|Xsl|-|7 69.14 cM|7 F3|protein-coding	345.756	325.906	313.485	307.66
NM_024166	chr5	129881161	129887470	-	904	1	Chchd2|AL033347|Etohi6|-|5|5 G1.3|protein-coding	344.619	350.676	377.312	389.575
NM_024218	chr16	55966275	55971437	+	671	1	Rpl24|0610008L05Rik|Bst|-|16 C1.1|16 33.74 cM|protein-coding	344.304	325.033	299.791	308.356
NM_144900	chr3	101576219	101604707	-	3677	1	Atp1a1|Atpa-1|BC010319|-|3 F2.2|3 44.3 cM|protein-coding	344.102	343.151	349.318	351.834
NM_025843	chr8	83566758	83571623	+	528	1	Ndufb7|1110002H15Rik|-|8|8 C2|protein-coding	343.344	350.887	366.884	365.603
NM_001163485	chr15	34440508	34443276	-	512	1	Rpl30|-|-|15 B3.1|15 14.33 cM|protein-coding	340.877	389.73	355.797	364.442
NM_001252457	chr17	35242817	35253707	+	1638	1	Ddx39b|0610030D10Rik|AI428441|Bat-1|Bat1|Bat1a|D17H6S81E|D17H6S81E-1|D6S81Eh|-|17 B1|17 18.6 cM|protein-coding	339.134	360.755	353.583	344.827
NM_025327	chr3	89246438	89249729	+	516	1	Krtcap2|0610010I12Rik|Kcp2|-|3|3 F1|protein-coding	339.07	328.066	360.989	344.242
NM_198095	chr8	71534262	71537437	-	759	1	Bst2|2310015I10Rik|Bst-2|C87040|CD317|DAMP-1|GREG|-|8|8 B3.3|protein-coding	338.668	311.231	557.089	526.383
NM_009272	chr4	148591513	148594619	+	1319	1	Srm|AA407669|SpdST|SpdSy|-|4|4 E2|protein-coding	337.991	349.854	304.788	295.996
NM_008950	chr11	106256185	106263112	+	1264	1	Psmc5|mSUG1|-|11|11 E1|protein-coding	336.889	326.684	333.195	337.026
NM_008951	chr3	95032691	95042614	-	1323	1	Psmd4|Af1|Mcb1|angiocidin|-|3 F2.1|3 40.74 cM|protein-coding	336.317	328.514	366.569	355.35
NM_008197	chr15	79028212	79030500	+	2286	1	H1f0|D130017D06Rik|H1(0)|H1fv|-|15 E1|15 37.7 cM|protein-coding	334.756	304.698	325.932	329.502
NM_008944	chr13	14613242	14625673	+	936	1	Psma2|Lmpc3|-|13|13 A1|protein-coding	332.53	310.934	312.957	337.942
NM_018753	chr2	163995197	164018587	+	2767	1	Ywhab|1300003C17Rik|14-3-3b|-|2|2 H3|protein-coding	329.819	326.58	315.562	306.093
NM_001285412	chr6	29348106	29376675	+	3037	1	Calu|9530075H20Rik|-|6|6 A3.3|protein-coding	328.805	310.047	277.002	282.847
NM_008683	chr14	55662267	55671906	-	596	1	Nedd8|Rub1|-|14 C3|14 28.19 cM|protein-coding	328.292	311.811	356.38	349.509
NM_145625	chr15	102073773	102097173	+	3837	1	Eif4b|2310046H11Rik|AL024095|C85189|Eif4a2|-|15|15 F2|protein-coding	327.467	331.818	323.111	319.236
NM_018868	chr1	59685006	59711510	+	1959	1	Nop58|MSSP|Nol5|SIK|nop5|-|1|1 C2|protein-coding	327.302	324.229	295.025	283.533
NM_053071	chr15	35931976	35938246	-	497	1	Cox6c|-|-|15|15 B3.1|protein-coding	326.288	323.951	321.597	340.772
NM_001080386	chr4	44012643	44032846	+	1067	1	Clta|AV026556|Lca|-|4|4 B1|protein-coding	326.061	333.892	329.64	341.878
NM_010948	chr4	133532542	133546027	-	1337	1	Nudc|SIG-92|Silg92|-|4|4 D2.3|protein-coding	325.484	303.616	307.503	300.289
NM_010705	chr14	47373860	47386167	+	1371	1	Lgals3|GBP|L-34|Mac-2|gal3|-|14|14 C1|protein-coding	324.333	336.585	250.119	266.48
NM_133726	chr15	81365044	81399694	-	1608	1	St13|1110007I03Rik|3110002K08Rik|AW555194|HIP|HOP|HSPABP|HSPABP1|PRO0786|SNC6|p48|-|15|15 E1|protein-coding	323.557	322.837	342.417	316.761
NM_016903	chr14	74732297	74750765	+	1977	1	Esd|Es-10|Es10|FGH|sid478|-|14 D3|14 39.38 cM|protein-coding	323.522	327.991	209.417	209.243
NR_138563	chr2	167062934	167065862	+	733	1	Zfas1|1500012F01Rik|Zfos1|-|2|2 H3|ncRNA	322.242	321.102	299.928	309.603
NM_001317220	chr10	128490859	128493009	-	635	1	Myl6|ESMLC|LC17|LC17-GI|MLC-3|MLC1SM|Myln|-|10|10 D3|protein-coding	321.713	327.276	320.854	306.424
NM_001285429	chr15	75894796	75909556	-	1697	1	Eef1d|EF-1-delta|-|15|15 D3|protein-coding	320.905	346.11	322.22	326.069
NM_001317385	chr8	84969622	84974662	+	1397	1	Prdx2|AL022839|Band-8|NkefB|PRP|PrxII|TDX1|TPx|TPx-B|TR|TSA|Tdpx1|Torin|-|8 C3|8 41.4 cM|protein-coding	320.664	333.999	324.857	304.338
NM_024225	chr2	144250124	144270572	-	2403	1	Snx5|0910001N05Rik|1810032P22Rik|AU019504|D2Ertd52e|-|2 G1|2 70.98 cM|protein-coding	320.372	320.809	296.659	296.203
NM_007749	chr13	86044798	86046795	-	444	1	Cox7c|COXVIIc|Cox7c1|-|13|13 C3|protein-coding	319.906	362.942	375.385	388.076
NM_008956	chr10	79854432	79864435	+	3015	1	Ptbp1|AA407203|AL033359|HNRPI|PTB-1|PTB2|PTB3|PTB4|Ptb|pPTB|-|10 C1|10 39.72 cM|protein-coding	319.856	316.334	321.756	319.665
NM_001024728	chr8	3567998	3584776	+	1613	1	C330021F23Rik|2610027C06Rik|Rps23r1|Rps23rg1|-|8|8 A1.1|protein-coding	319.702	339.977	326.755	341.313
NM_009092	chr7	81342733	81345234	-	467	1	Rps17|-|-|7|7 D3|protein-coding	318.004	356.987	342.582	353.664
NM_177420	chr19	15905123	15925059	-	2161	1	Psat1|D8Ertd814e|EPIP|PSA|Psat|-|19 A|19 10.86 cM|protein-coding	317.597	321.927	326.857	309.732
NM_001329528	chr9	108339080	108340342	+	936	1	Gpx1|AI195024|AL033363|CGPx|GPx-1|GSHPx-1|Gpx|-|9 F2|9 59.24 cM|protein-coding	316.403	324.506	283.576	290.199
NM_001160017	chr4	155491361	155559269	+	3078	1	Gnb1|AA409223|C77571|Gnb-1|-|4 E2|4 86.17 cM|protein-coding	316.252	304.48	283.925	276.986
NM_180678	chr6	55038001	55079504	+	2371	1	Gars|GENA202|Gena201|Nmf249|Sgrp23|-|6 B3|6 27.29 cM|protein-coding	316.025	295.34	301.367	280.408
NM_011185	chr17	15475721	15498276	-	1028	1	Psmb1|AA409053|C81484|Lmpc5|-|17 A2|17 8.95 cM|protein-coding	315.916	319.346	346.579	341.357
NM_010730	chr19	20373434	20390671	-	1380	1	Anxa1|Anx-1|Anx-A1|C430014K04Rik|Lpc-1|Lpc1|-|19 B|19 13.83 cM|protein-coding	315.134	311.325	278.324	292.251
NM_001161746	chr17	23675445	23677449	-	855	1	Tnfrsf12a|AI255180|C87282|Fn14|HPIP|TWEAK-R|TweakR|-|17|17 A3.3|protein-coding	315.103	339.723	189.961	198.578
NM_134101	chr16	20651652	20663414	+	2938	1	Psmd2|9430095H01Rik|AA407121|TEG-190|Tex190|-|16|16 B1|protein-coding	314.831	307.669	310.538	312.69
NM_001253738	chr3	90079521	90100902	+	2240	1	Tpm3|TM30nm|TMnm|Tm5NM|Tpm-5|Tpm5|Trop-5|gamma-TM|hTM30nm|hTMnm|-|3|3 F1|protein-coding	313.071	290.692	285.892	277.983
